"['10', '20', '30']",20,10
"['10', '20', '30']",20,20
"['10', '20', '30']",20,30
"['10', '20', '30']",20,40
"['10', '20', '30']",20,50
"['10', '20', '30']",20,60
"['10', '20', '30']",20,70
"['10', '20', '30']",20,80
"['10', '20', '30']",20,90
"['10', '20', '30']",20,100
"['10', '20', '30']",200,10
"['10', '20', '30']",200,20
"['10', '20', '30']",200,30
"['10', '20', '30']",200,40
"['10', '20', '30']",200,50
"['10', '20', '30']",200,60
"['10', '20', '30']",200,70
"['10', '20', '30']",200,80
"['10', '20', '30']",200,90
"['10', '20', '30']",200,100
"['10', '20', '30']",2000,10
"['10', '20', '30']",2000,20
"['10', '20', '30']",2000,30
"['10', '20', '30']",2000,40
"['10', '20', '30']",2000,50
"['10', '20', '30']",2000,60
"['10', '20', '30']",2000,70
"['10', '20', '30']",2000,80
"['10', '20', '30']",2000,90
"['10', '20', '30']",2000,100
"['10', '20', '30']",5000,10
"['10', '20', '30']",5000,20
"['10', '20', '30']",5000,30
"['10', '20', '30']",5000,40
"['10', '20', '30']",5000,50
"['10', '20', '30']",5000,60
"['10', '20', '30']",5000,70
"['10', '20', '30']",5000,80
"['10', '20', '30']",5000,90
"['10', '20', '30']",5000,100
"['10', '20', '30']",10000,10
"['10', '20', '30']",10000,20
"['10', '20', '30']",10000,30
"['10', '20', '30']",10000,40
"['10', '20', '30']",10000,50
"['10', '20', '30']",10000,60
"['10', '20', '30']",10000,70
"['10', '20', '30']",10000,80
"['10', '20', '30']",10000,90
"['10', '20', '30']",10000,100
"['5', '15', '25']",20,10
"['5', '15', '25']",20,20
"['5', '15', '25']",20,30
"['5', '15', '25']",20,40
"['5', '15', '25']",20,50
"['5', '15', '25']",20,60
"['5', '15', '25']",20,70
"['5', '15', '25']",20,80
"['5', '15', '25']",20,90
"['5', '15', '25']",20,100
"['5', '15', '25']",200,10
"['5', '15', '25']",200,20
"['5', '15', '25']",200,30
"['5', '15', '25']",200,40
"['5', '15', '25']",200,50
"['5', '15', '25']",200,60
"['5', '15', '25']",200,70
"['5', '15', '25']",200,80
"['5', '15', '25']",200,90
"['5', '15', '25']",200,100
"['5', '15', '25']",2000,10
"['5', '15', '25']",2000,20
"['5', '15', '25']",2000,30
"['5', '15', '25']",2000,40
"['5', '15', '25']",2000,50
"['5', '15', '25']",2000,60
"['5', '15', '25']",2000,70
"['5', '15', '25']",2000,80
"['5', '15', '25']",2000,90
"['5', '15', '25']",2000,100
"['5', '15', '25']",5000,10
"['5', '15', '25']",5000,20
"['5', '15', '25']",5000,30
"['5', '15', '25']",5000,40
"['5', '15', '25']",5000,50
"['5', '15', '25']",5000,60
"['5', '15', '25']",5000,70
"['5', '15', '25']",5000,80
"['5', '15', '25']",5000,90
"['5', '15', '25']",5000,100
"['5', '15', '25']",10000,10
"['5', '15', '25']",10000,20
"['5', '15', '25']",10000,30
"['5', '15', '25']",10000,40
"['5', '15', '25']",10000,50
"['5', '15', '25']",10000,60
"['5', '15', '25']",10000,70
"['5', '15', '25']",10000,80
"['5', '15', '25']",10000,90
"['5', '15', '25']",10000,100
