! Vector Network Analyzer VNA R2,,,,,,,
! Tucson Amateur Packet Radio,,,,,,,
! Friday, March 02, 2012   2:56:46 PM,,,,,
50+j0,50,,Unity,1,,,
,,,,,,,
Frequency (Hz.),S11,S21,S12,S22,,Zin,Zout
23668341,-0.988308+0.00888452i,0.320939-0.577522i,0.320939-0.577522i,-0.988308+0.00888452i,,0.293014661687424+0.224728409593511i,0.293014661687424+0.224728409593511i
23809045,-0.988047+0.00900019i,0.315855-0.579772i,0.315855-0.579772i,-0.988047+0.00900019i,,0.299590770195366+0.22771386886427i,0.299590770195366+0.22771386886427i
23949748,-0.988945+0.00845825i,0.310955-0.583233i,0.310955-0.583233i,-0.988945+0.00845825i,,0.277001900658937+0.213809557994942i,0.277001900658937+0.213809557994942i
24090452,-0.988895+0.00784495i,0.301621-0.580933i,0.301621-0.580933i,-0.988895+0.00784495i,,0.278392883427705+0.198316893677567i,0.278392883427705+0.198316893677567i
24231155,-0.987609+0.00889152i,0.300389-0.581574i,0.300389-0.581574i,-0.987609+0.00889152i,,0.310699358785626+0.225063676790873i,0.310699358785626+0.225063676790873i
24371859,-0.988518+0.00844064i,0.294111-0.581282i,0.294111-0.581282i,-0.988518+0.00844064i,,0.28780141502197+0.213456065338956i,0.28780141502197+0.213456065338956i
24512562,-0.989395+0.00783605i,0.295552-0.579116i,0.295552-0.579116i,-0.989395+0.00783605i,,0.265758445167885+0.197992352682226i,0.265758445167885+0.197992352682226i
24653266,-0.988258+0.00834773i,0.290207-0.579676i,0.290207-0.579676i,-0.988258+0.00834773i,,0.294397044392525+0.211161754178476i,0.294397044392525+0.211161754178476i
24793969,-0.988525+0.00749076i,0.288493-0.578102i,0.288493-0.578102i,-0.988525+0.00749076i,,0.287816847370333+0.189433860236913i,0.287816847370333+0.189433860236913i
24934673,-0.988322+0.00812128i,0.283877-0.580081i,0.283877-0.580081i,-0.988322+0.00812128i,,0.292825670349493+0.205420509987867i,0.292825670349493+0.205420509987867i
25075376,-0.987592+0.00840073i,0.28162-0.579907i,0.28162-0.579907i,-0.987592+0.00840073i,,0.311237733076615+0.212644810484943i,0.311237733076615+0.212644810484943i
25216080,-0.988493+0.00789872i,0.276219-0.581394i,0.276219-0.581394i,-0.988493+0.00789872i,,0.288546238977465+0.199756874149789i,0.288546238977465+0.199756874149789i
25356783,-0.988797+0.00713114i,0.270752-0.581548i,0.270752-0.581548i,-0.988797+0.00713114i,,0.281006218492088+0.18029034370272i,0.281006218492088+0.18029034370272i
25497487,-0.987463+0.00789464i,0.265862-0.580933i,0.265862-0.580933i,-0.987463+0.00789464i,,0.314608207465517+0.199860685979556i,0.314608207465517+0.199860685979556i
25638190,-0.988841+0.00749169i,0.262399-0.579898i,0.262399-0.579898i,-0.988841+0.00749169i,,0.279826841383513+0.189397179537894i,0.279826841383513+0.189397179537894i
25778894,-0.988658+0.0073934i,0.258152-0.579207i,0.258152-0.579207i,-0.988658+0.0073934i,,0.284472155419091+0.186946783425745i,0.284472155419091+0.186946783425745i
25919597,-0.988308+0.0076102i,0.250004-0.581484i,0.250004-0.581484i,-0.988308+0.0076102i,,0.293282059243635+0.192496300938917i,0.293282059243635+0.192496300938917i
26060301,-0.989231+0.00681467i,0.247368-0.578766i,0.247368-0.578766i,-0.989231+0.00681467i,,0.270092521253696+0.172214333781151i,0.270092521253696+0.172214333781151i
26201005,-0.98982+0.00740935i,0.248593-0.5808i,0.248593-0.5808i,-0.98982+0.00740935i,,0.255105224832873+0.187131330420649i,0.255105224832873+0.187131330420649i
26341708,-0.98821+0.00741472i,0.242229-0.578687i,0.242229-0.578687i,-0.98821+0.00741472i,,0.295798340373336+0.187570358196736i,0.295798340373336+0.187570358196736i
26482412,-0.988969+0.00736293i,0.241732-0.576791i,0.241732-0.576791i,-0.988969+0.00736293i,,0.276615485310096+0.186118134800117i,0.276615485310096+0.186118134800117i
26623115,-0.989804+0.0067343i,0.234768-0.577227i,0.234768-0.577227i,-0.989804+0.0067343i,,0.255630501439336+0.170085341312935i,0.255630501439336+0.170085341312935i
26763819,-0.988347+0.00766371i,0.230309-0.575935i,0.230309-0.575935i,-0.988347+0.00766371i,,0.292285224789313+0.193842165980118i,0.292285224789313+0.193842165980118i
26904522,-0.988923+0.00725538i,0.2297-0.574725i,0.2297-0.574725i,-0.988923+0.00725538i,,0.277798237913809+0.183408071493665i,0.277798237913809+0.183408071493665i
27045226,-0.988571+0.00752715i,0.227568-0.574335i,0.227568-0.574335i,-0.988571+0.00752715i,,0.286646663567579+0.190345294401695i,0.286646663567579+0.190345294401695i
27185929,-0.987508+0.00816398i,0.224286-0.573699i,0.224286-0.573699i,-0.987508+0.00816398i,,0.313413959897179+0.206669711669247i,0.313413959897179+0.206669711669247i
27326633,-0.988412+0.00752143i,0.223748-0.572133i,0.223748-0.572133i,-0.988412+0.00752143i,,0.290668729777864+0.190231071077932i,0.290668729777864+0.190231071077932i
27467336,-0.989044+0.00757215i,0.219088-0.571482i,0.219088-0.571482i,-0.989044+0.00757215i,,0.274680072381054+0.191392155583325i,0.274680072381054+0.191392155583325i
27608040,-0.987444+0.00858594i,0.2184-0.569354i,0.2184-0.569354i,-0.987444+0.00858594i,,0.314944076786083+0.217365163972741i,0.314944076786083+0.217365163972741i
27748743,-0.988043+0.00832491i,0.216309-0.569182i,0.216309-0.569182i,-0.988043+0.00832491i,,0.299840860370739+0.210630075997808i,0.299840860370739+0.210630075997808i
27889447,-0.98901+0.00769441i,0.215924-0.567279i,0.215924-0.567279i,-0.98901+0.00769441i,,0.27551572008973+0.194488932138006i,0.27551572008973+0.194488932138006i
28030150,-0.988303+0.00757231i,0.213413-0.564719i,0.213413-0.564719i,-0.988303+0.00757231i,,0.293415846679619+0.1915388830324i,0.293415846679619+0.1915388830324i
28170854,-0.988098+0.0075197i,0.213457-0.562719i,0.213457-0.562719i,-0.988098+0.0075197i,,0.298611736767632+0.190247397601613i,0.298611736767632+0.190247397601613i
28311557,-0.989424+0.0065888i,0.211544-0.5635i,0.211544-0.5635i,-0.989424+0.0065888i,,0.265254231875982+0.166474168946883i,0.265254231875982+0.166474168946883i
28452261,-0.988259+0.00746255i,0.211457-0.559889i,0.211457-0.559889i,-0.988259+0.00746255i,,0.294549798165482+0.188770976314605i,0.294549798165482+0.188770976314605i
28592964,-0.989008+0.00715286i,0.211272-0.55822i,0.211272-0.55822i,-0.989008+0.00715286i,,0.275668451360217+0.180801091719589i,0.275668451360217+0.180801091719589i
28733668,-0.988709+0.00728718i,0.210149-0.5564i,0.210149-0.5564i,-0.988709+0.00728718i,,0.283202482451508+0.184251565948599i,0.283202482451508+0.184251565948599i
28874371,-0.988453+0.00751878i,0.211579-0.554064i,0.211579-0.554064i,-0.988453+0.00751878i,,0.289632320858753+0.190156207715962i,0.289632320858753+0.190156207715962i
29015075,-0.988119+0.00765463i,0.213376-0.550831i,0.213376-0.550831i,-0.988119+0.00765463i,,0.298054406176546+0.193656917015104i,0.298054406176546+0.193656917015104i
29155778,-0.987423+0.00773067i,0.212491-0.549998i,0.212491-0.549998i,-0.987423+0.00773067i,,0.31565347267024+0.195717626711358i,0.31565347267024+0.195717626711358i
29296482,-0.987624+0.00771688i,0.21377-0.546608i,0.21377-0.546608i,-0.987624+0.00771688i,,0.310568130346945+0.195329004375934i,0.310568130346945+0.195329004375934i
29437185,-0.987519+0.00802405i,0.213354-0.545735i,0.213354-0.545735i,-0.987519+0.00802405i,,0.313164358491622+0.203125276523522i,0.313164358491622+0.203125276523522i
29577889,-0.987739+0.00809868i,0.213523-0.543716i,0.213523-0.543716i,-0.987739+0.00809868i,,0.30758063365556+0.204969061393963i,0.30758063365556+0.204969061393963i
29718592,-0.987205+0.00785674i,0.213549-0.540352i,0.213549-0.540352i,-0.987205+0.00785674i,,0.321147983664092+0.198952889213329i,0.321147983664092+0.198952889213329i
29859296,-0.986754+0.008223i,0.213761-0.539805i,0.213761-0.539805i,-0.986754+0.008223i,,0.332495603420973+0.208321770761217i,0.332495603420973+0.208321770761217i
29999999,-0.987231+0.00787939i,0.21258-0.533583i,0.21258-0.533583i,-0.987231+0.00787939i,,0.320485084320699+0.199521206627989i,0.320485084320699+0.199521206627989i
